institution_name,oclc_symbol,street_address,country_name,opac_url
"Mervyn H Sterne Library, University of Alabama at Birmingham",ABC,"Mervyn H Sterne Library, 917 13th Street South, Birmingham, AL",United States,http://www.worldcat.org/wcpa/oclc/20619185?page=frame&url=https%3A%2F%2Fuab-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Ftab%3Ddefault_tab%26search_scope%3Dalma_scope%26vid%3DUAB_Libraries%26fn%3Dsearch%26query%3Disbn%2Ccontains%2C9780472080892%26checksum%3D6dbbd6500a1b642707797c15142e5961&title=Mervyn+H+Sterne+Library%2C+University+of+Alabama+at+Birmingham&linktype=opac&detail=ABC%3AMervyn+H+Sterne+Library%2C+University+of+Alabama+at+Birmingham%3AAcademic Library&app=wcapi&id=OCPSB-
Samford University Library,ABF,"800 Lakeshore Drive, Birmingham, AL",United States,http://www.worldcat.org/wcpa/oclc/806338736?page=frame&url=https%3A%2F%2Flibrary3.samford.edu%2Fsearch%2Fi%3Fsearch%3D089264902X%26checksum%3D869837e453b1fb41edef24d790a85d73&title=Samford+University+Library&linktype=opac&detail=ABF%3ASamford+University+Library%3AAcademic Library&app=wcapi&id=OCPSB-
UAB - Lister Hill Library,ABH,"UAB Lister Hill Library, 1700 University Boulevard - Room 25, Birmingham, AL",United States,http://www.worldcat.org/wcpa/oclc/555582979?page=frame&url=https%3A%2F%2Fuab-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DUAB_Libraries%26lang%3Den_US%26sortby%3Drank%26checksum%3D15e6e20dc351088e36db21fb7a853cd6&title=UAB+-+Lister+Hill+Library&linktype=opac&detail=ABH%3AUAB+-+Lister+Hill+Library%3AMedical Library&app=wcapi&id=OCPSB-
Birmingham Jefferson Public Library,ABJ,"2100 Park Place, Birmingham, AL",United States,http://www.worldcat.org/wcpa/oclc/644275984?page=frame&url=http%3A%2F%2Fvulcan.bham.lib.al.us%2Fsearch%2Fi0892640995%26checksum%3D6f7678218a9674abf491b7c90f566c5c&title=Birmingham+Jefferson+Public+Library&linktype=opac&detail=ABJ%3ABirmingham+Jefferson+Public+Library%3APublic Library&app=wcapi&id=OCPSB-
University of South Alabama,ACM,"Interlibrary Loans / University of, MARX LIBRARY / 5901 USA Dr. N, Mobile, AL",United States,http://www.worldcat.org/wcpa/oclc/260061129?page=frame&url=http%3A%2F%2Fsouthcat2.usouthal.edu%2Fvwebv%2Fsearch%3FargType1%3Dphrase%26searchCode1%3DISBN%26location%3Dall%26type%3Dall%26medium%3Dall%26language%3Dall%26recCount%3D50%26searchType%3D2%26page.search.search.button%3DSearch%26searchArg1%3D0472969005%26checksum%3Dafbf6f8b95f1f6355c71935e1836c6ec&title=University+of+South+Alabama&linktype=opac&detail=ACM%3AUniversity+of+South+Alabama%3AAcademic Library&app=wcapi&id=OCPSB-
NPS Dudley Knox Library,AD#,"NPS Dudley Knox Library, 411 Dyer Rd, Monterey, CA",United States,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=https%3A%2F%2Fnps.primo.exlibrisgroup.com%2Fdiscovery%2Fsearch%3Fvid%3D01NPS_INST%3A01NPS%26checksum%3D25a39698bb96652d7b84bf483b030d88&title=NPS+Dudley+Knox+Library&linktype=opac&detail=AD%23%3ANPS+Dudley+Knox+Library%3AAcademic Library&app=wcapi&id=OCPSB-
Troy University Libraries,ADA,"Library, 501 University Ave, Troy, AL",United States,http://www.worldcat.org/wcpa/oclc/644312454?page=frame&url=https%3A%2F%2Ftroyuniversity.on.worldcat.org%2Foclc%2F3841701%26checksum%3Dc9bc744e4be9c3b002a5b0334c7e6511&title=Troy+University+Libraries&linktype=opac&detail=ADA%3ATroy+University+Libraries%3AAcademic Library&app=wcapi&id=OCPSB-
UNSW Canberra,ADM,"UNSW Canberra Library, Northcott Dr, Canberra",Australia,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=http%3A%2F%2Fprimoa.library.unsw.edu.au%2Fprimo_library%2Flibweb%2Faction%2Fsearch.do%3Ffn%3Dsearch%26ct%3Dsearch%26vid%3DUNSWC%26vl%28freeText0%29%3D9780472086771%26checksum%3D164fb2758d13dc3fb73d54136a1a4816&title=UNSW+Canberra&linktype=opac&detail=ADM%3AUNSW+Canberra%3AAcademic Library&app=wcapi&id=OCPSB-
University of Aberdeen,ADU,"Library,, Meston Walk,, Old Aberdeen",United Kingdom,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=http%3A%2F%2Faulib.abdn.ac.uk%2FF%2F%3Ffunc%3Dfind-b%26find_code%3DISBN%26request%3D0892641444%26checksum%3Db0e75f90b81f7636fceb0d68a6698cba&title=University+of+Aberdeen&linktype=opac&detail=ADU%3AUniversity+of+Aberdeen%3AAcademic Library&app=wcapi&id=OCPSB-
Abu Dhabi University,AEHBU,"Musaffah Khalifa Cnty B, Abu Dhabi",United Arab Emirates,
U.S. Army Engineer Research and Development Center (ERDC),AERDC,"Library, CEERD-ISK, 3909 Halls Ferry Road, Vicksburg, MS",United States,http://www.worldcat.org/wcpa/oclc/728782385?page=frame&url=http%3A%2F%2Facwc.sdp.sirsi.net%2Fclient%2Fdefault%2Fsearch%2Fresults%3Fte%3DILS%26qu%3DISBN%253D9780520015852%26checksum%3D05b406ced0f3c135cabdb1c1093d00dd&title=U.S.+Army+Engineer+Research+and+Development+Center+%28ERDC%29&linktype=opac&detail=AERDC%3AU.S.+Army+Engineer+Research+and+Development+Center+%28ERDC%29%3AGovernment Library (except State or National Library)&app=wcapi&id=OCPSB-
University of Arkansas - Fayetteville,AFU,"University Libraries, 365 N. McIlroy Ave., Fayetteville, AR",United States,http://www.worldcat.org/wcpa/oclc/493260870?page=frame&url=https%3A%2F%2Flibrary.uark.edu%2Fsearch%2Fo200725%26checksum%3Db591b3480503c0774daf42c93cd19fb8&title=University+of+Arkansas+-+Fayetteville&linktype=opac&detail=AFU%3AUniversity+of+Arkansas+-+Fayetteville%3AAcademic Library&app=wcapi&id=OCPSB-
Harding University,AHS,"915 East Market, Box 12267, Searcy, AR",United States,http://www.worldcat.org/wcpa/oclc/644275984?page=frame&url=http%3A%2F%2Flibrary.harding.edu%2Fvwebv%2Fsearch%3FargType1%3Dall%26searchCode1%3DSYSN%26recCount%3D20%26searchType%3D2%26searchArg1%3D644275984%26checksum%3D09086a9d5a78f583f20410a0a0b6dfd2&title=Harding+University&linktype=opac&detail=AHS%3AHarding+University%3AAcademic Library&app=wcapi&id=OCPSB-
American Jewish University,AI#,"American Jewish University, 15600 Mulholland Dr., Los Angeles, CA",United States,http://www.worldcat.org/wcpa/oclc/470516586?page=frame&url=https%3A%2F%2Fajula.on.worldcat.org%2Fsearch%3FqueryString%3Dbn%3A0804708290%26checksum%3Dc19659b78b41e915f969f671dd73b99d&title=American+Jewish+University&linktype=opac&detail=AI%23%3AAmerican+Jewish+University%3AAcademic Library&app=wcapi&id=OCPSB-
Jacksonville State University,AJB,"Houston Cole Library, 700 Pelham Rd N, Jacksonville, AL",United States,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=http%3A%2F%2Fjaxcat.jsu.edu%2Fvwebv%2Fsearch%3FsearchCode1%3DISBN%26searchType%3D2%26argType1%3Dany%26searchArg1%3D9780472086771%26checksum%3D62f547aaf193c8c1026f3119bf37761d&title=Jacksonville+State+University&linktype=opac&detail=AJB%3AJacksonville+State+University%3AAcademic Library&app=wcapi&id=OCPSB-
