institution_name,oclc_symbol,street_address,country_name,opac_url
Georgia State University,GCD,"555 N. Indian Creek Drive, Clarkston, GA",United States,http://www.worldcat.org/wcpa/oclc/757407857?page=frame&url=http%3A%2F%2Fgilfind.gpc.edu%2Fvufind%2FSearch%2FResults%3Ftype%3Doclc_num%26lookfor%3D505265%26checksum%3D999d42e4d235b2921b903c4ae8387df1&title=Georgia+State+University&linktype=opac&detail=GCD%3AGeorgia+State+University%3AAcademic Library&app=wcapi&id=OCPSB-
Columbia Theological Seminary,GCL,"701 Columbia Drive, Decatur, GA",United States,http://www.worldcat.org/wcpa/oclc/1015088464?page=frame&url=https%3A%2F%2Fcots.ent.sirsi.net%2Fclient%2Fen_US%2Fdefault%2Fsearch%2Fresults%3Fte%3DILS%26qu%3D0231105800%26checksum%3Dbab621376333574af795097371bc0f5b&title=Columbia+Theological+Seminary&linktype=opac&detail=GCL%3AColumbia+Theological+Seminary%3AAcademic Library&app=wcapi&id=OCPSB-
Columbus State University,GCO,"4225 University Avenue, 4225 University Ave, Columbus, GA",United States,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=https%3A%2F%2Fgalileo-usg-csu-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DCSU_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C9780472086771%26checksum%3D2d4ba1524fdc08873f8fc697115f2060&title=Columbus+State+University&linktype=opac&detail=GCO%3AColumbus+State+University%3AAcademic Library&app=wcapi&id=OCPSB-
Columbus Public Library,GCV,"3000 Macon Road, Columbus, GA",United States,http://www.worldcat.org/wcpa/oclc/780194?page=frame&url=http%3A%2F%2Fchattahoochee.polarislibrary.com%2Fpolaris%2Fview.aspx%3Fisbn%3D9780892640157%26checksum%3D3e62cbefcb40874abdadba25f9830a36&title=Columbus+Public+Library&linktype=opac&detail=GCV%3AColumbus+Public+Library%3APublic Library&app=wcapi&id=OCPSB-
MO99 COKAMO Sikeston Public Library,GD5,"121 E North St, Sikeston, MO",United States,
Gettysburg College,GDC,"300 N Washington Street, Box 420, Gettysburg, PA",United States,http://www.worldcat.org/wcpa/oclc/493260870?page=frame&url=http%3A%2F%2Flibrary.gettysburg.edu%2Fsearch%2Fo200725%26checksum%3Df25c3b2377ccf4071641f5fc157fdce4&title=Gettysburg+College&linktype=opac&detail=GDC%3AGettysburg+College%3AAcademic Library&app=wcapi&id=OCPSB-
Gold Coast Libraries,GDCCC,"Gold Coast City Council, 135 Bundall Rd, Surfers Paradise, AU-QL",Australia,http://www.worldcat.org/wcpa/oclc/605277539?page=frame&url=https%3A%2F%2Fgcccopac.sirsidynix.net.au%2Fuhtbin%2Fcgisirsi%2Fx%2F0%2F0%2F5%2F%3Fsearchdata1%3D480531141X%26checksum%3Dec15cf9bb888cefa1badaa4cb8df2703&title=Gold+Coast+Libraries&linktype=opac&detail=GDCCC%3AGold+Coast+Libraries%3APublic Library&app=wcapi&id=OCPSB-
DeKalb County Public Library,GDK,"Library Administrative Center, 3560 Kensington Road, Decatur, GA",United States,http://www.worldcat.org/wcpa/oclc/860511283?page=frame&url=http%3A%2F%2Fdekalb.polarislibrary.com%2Fpolaris%2Fview.aspx%3Fisbn%3D0691056455%26checksum%3D8a1cc3a9bd0637ae67b58d723ce35eaa&title=DeKalb+County+Public+Library&linktype=opac&detail=GDK%3ADeKalb+County+Public+Library%3APublic Library&app=wcapi&id=OCPSB-
Piedmont College Library,GE7,"1021 Central Avenue, Demorest, GA",United States,http://www.worldcat.org/wcpa/oclc/260061129?page=frame&url=https%3A%2F%2Fpdmt.sirsi.net%2Fuhtbin%2Fcgisirsi%2Fx%2F0%2F0%2F5%2F%3Fsearchdata1%3D0472969005%26checksum%3D4ee2e387306630bbdefc5a967ca85ac3&title=Piedmont+College+Library&linktype=opac&detail=GE7%3APiedmont+College+Library%3AAcademic Library&app=wcapi&id=OCPSB-
Drs. Sid E. and Nell K. Williams Library,GE8,"1269 Barclay Circle, Marietta, GA",United States,http://www.worldcat.org/wcpa/oclc/1030402038?page=frame&url=http%3A%2F%2Flife.sirsi.net%2Fuhtbin%2Fcgisirsi%2Fx%2F0%2F0%2F5%2F%3Fsearchdata1%3D9781938937071%26checksum%3Dad7bc2fab254338e9b4829ae18c10780&title=Drs.+Sid+E.+and+Nell+K.+Williams+Library&linktype=opac&detail=GE8%3ADrs.+Sid+E.+and+Nell+K.+Williams+Library%3AAcademic Library&app=wcapi&id=OCPSB-
Bayerische Staatsbibliothek,GEBAY,"Ludwigstr. 16, München",Germany,http://www.worldcat.org/wcpa/oclc/869088412?page=frame&url=https%3A%2F%2Fopacplus.bsb-muenchen.de%2Fsearch%3Foclcno%3D461625641%26checksum%3D9fcbbb827798abde14221a68b7b055ef&title=Bayerische+Staatsbibliothek&linktype=opac&detail=GEBAY%3ABayerische+Staatsbibliothek%3AState or National Library&app=wcapi&id=OCPSB-
Saint Gregory the Great Seminary,GEJ,"Our Lady Seat Of Wisdom Libr, 1301 280th Rd, Seward, NE",United States,
American College of Greece,GEQ,"John S. Bailey Library, 6 Gravias St, Aghia Paraskevi, Athens",Greece,http://www.worldcat.org/wcpa/oclc/644275984?page=frame&url=http%3A%2F%2Fwww.catalog.library.acg.edu%3A8080%2Fipac20%2Fipac.jsp%3Findex%3DISBN%26profile%3Dmain--6%26term%3D0892640995%26checksum%3De5ef73e6d64c5a10e5282687e0c67b72&title=American+College+of+Greece&linktype=opac&detail=GEQ%3AAmerican+College+of+Greece%3AAcademic Library&app=wcapi&id=OCPSB-
George Fox University,GFC,"Murdock Learning Resource Center, 416 N Meridian St, Newberg, OR",United States,http://www.worldcat.org/wcpa/oclc/1041044402?page=frame&url=https%3A%2F%2Falliance-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Ftab%3Ddefault_tab%26search_scope%3Dgfox_alma_summit_primocentral%26vid%3DGFOX%26query%3Dany%2Ccontains%2C0892640995%26checksum%3Dea173a30b9dccf829c76ce9d6515b251&title=George+Fox+University&linktype=opac&detail=GFC%3AGeorge+Fox+University%3AAcademic Library&app=wcapi&id=OCPSB-
Fort Valley State University,GFV,"Hunt Mem Libr, 1005 State University Dr, Ft Valley, GA",United States,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=https%3A%2F%2Fgalileo-usg-fvsu-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DFVSU_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C9780472086771%26checksum%3De837c1ae4a7da99a40e31fc8ad22e897&title=Fort+Valley+State+University&linktype=opac&detail=GFV%3AFort+Valley+State+University%3AAcademic Library&app=wcapi&id=OCPSB-
Kaufman Library at Georgia Gwinnett College,GG4,"Kaufman Library at Georgia Gwinnett, 1000 University Center Lane, Lawrenceville, GA",United States,http://www.worldcat.org/wcpa/oclc/470516586?page=frame&url=https%3A%2F%2Fgalileo-usg-ggc-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DGGC_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C0804708290%26checksum%3D04415acbc4fda17c0e506462572db728&title=Kaufman+Library+at+Georgia+Gwinnett+College&linktype=opac&detail=GG4%3AKaufman+Library+at+Georgia+Gwinnett+College%3AAcademic Library&app=wcapi&id=OCPSB-
Gateway Seminary Library,GGB,"3210 E. Guasti Rd, Ontario, CA",United States,http://www.worldcat.org/wcpa/oclc/1015088464?page=frame&url=https%3A%2F%2Fgslibrary.on.worldcat.org%2Fsearch%3FqueryString%3Dbn%3A0824806778%26checksum%3D670b3fdbbcf02ac912b17c7cf7f40603&title=Gateway+Seminary+Library&linktype=opac&detail=GGB%3AGateway+Seminary+Library%3AAcademic Library&app=wcapi&id=OCPSB-
Georgia College & State University,GGC,"Georgia College Library CBX 043, 320 N. Wayne St., Milledgeville, GA",United States,http://www.worldcat.org/wcpa/oclc/806338736?page=frame&url=https%3A%2F%2Fgalileo-usg-gcsu-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DGCSU_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C089264902X%26checksum%3Dd24a7831819795a85bdc9e24bbe2db68&title=Georgia+College+%26+State+University&linktype=opac&detail=GGC%3AGeorgia+College+%26+State+University%3AAcademic Library&app=wcapi&id=OCPSB-
Gordon State College,GGJ,"419 College Drive, Barnesville, GA",United States,http://www.worldcat.org/wcpa/oclc/260061129?page=frame&url=https%3A%2F%2Fgalileo-usg-gordon-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DGORDON_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C0472969005%26checksum%3D51b62eb4bb67647e6241567617e34276&title=Gordon+State+College&linktype=opac&detail=GGJ%3AGordon+State+College%3AAcademic Library&app=wcapi&id=OCPSB-
Georgian Court University,GGN,"900 Lakewood Avenue, Lakewood, NJ",United States,http://www.worldcat.org/wcpa/oclc/780194?page=frame&url=http%3A%2F%2Fgeorgian.worldcat.org%2Fisbn%2F9780892640157%26checksum%3D37e27ff19f9c94e164858f08c8684f3c&title=Georgian+Court+University&linktype=opac&detail=GGN%3AGeorgian+Court+University%3AAcademic Library&app=wcapi&id=OCPSB-
Saint Mary's College Library,GH0,"1928 St. Mary's Road, Moraga, CA",United States,http://www.worldcat.org/wcpa/oclc/469660075?page=frame&url=http%3A%2F%2Falbert.stmarys-ca.edu%2Fsearch%2F%3Fsearchtype%3Di%26searcharg%3D0892640219%26checksum%3D55b663dad57f59a58e2fd281a080edc4&title=Saint+Mary%27s+College+Library&linktype=opac&detail=GH0%3ASaint+Mary%27s+College+Library%3AAcademic Library&app=wcapi&id=OCPSB-
University of Education Ghana,GH6T4,"PO Box 25, Osagyefo Library, Winneba",Ghana,
Georgia Southwestern State University,GHA,"James Earl Carter Libr, 800 Georgia Southwestern State, Americus, GA",United States,http://www.worldcat.org/wcpa/oclc/260061129?page=frame&url=https%3A%2F%2Fgalileo-usg-gswu-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DGSWU_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C0472969005%26checksum%3D3f4dc4b3b6519f9f3952bdf0b50a50a3&title=Georgia+Southwestern+State+University&linktype=opac&detail=GHA%3AGeorgia+Southwestern+State+University%3AAcademic Library&app=wcapi&id=OCPSB-
University of Cape Coast,GHUCC,"Library, Cape Coast",Ghana,
Grand Island Public Library,GIP,"211 N Washington, Grand Island, NE",United States,http://www.worldcat.org/wcpa/oclc/964256751?page=frame&url=http%3A%2F%2Fgrandisland.pioneer.kohalibrary.com%2F%26checksum%3D4dc739b6dc64f7181bf582f50607521b&title=Grand+Island+Public+Library&linktype=opac&detail=GIP%3AGrand+Island+Public+Library%3APublic Library&app=wcapi&id=OCPSB-
Albertus Magnus College Library,GJC,"700 Prospect Street, New Haven, CT",United States,http://www.worldcat.org/wcpa/oclc/831316570?page=frame&url=http%3A%2F%2Fboots.albertus.edu%2Fvwebv%2Fsearch%3FsearchCode%3D%26checksum%3Df67721e353c8443abdf6b72f43446a85&title=Albertus+Magnus+College+Library&linktype=opac&detail=GJC%3AAlbertus+Magnus+College+Library%3AAcademic Library&app=wcapi&id=OCPSB-
Augusta University,GJG,"2500 Walton Way, Augusta, GA",United States,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=https%3A%2F%2Fgalileo-usg-augusta-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DAUGUSTA_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C9780472086771%26checksum%3D34c631c6d27d00c5d8b04a9d7bd02880&title=Augusta+University&linktype=opac&detail=GJG%3AAugusta+University%3AAcademic Library&app=wcapi&id=OCPSB-
Des Plaines Public Library,GK8,"1501 Ellinwood Street, Des Plaines, IL",United States,http://www.worldcat.org/wcpa/oclc/777305548?page=frame&url=http%3A%2F%2Fccs.polarislibrary.com%2Fpolaris%2Fsearch%2Fsearchresults.aspx%3Fctx%3D14.1033.0.0.7%26type%3Dkeyword%26by%3DISBN%26term%3D9780891480822%26checksum%3De6a198b38b09e1e67f2b5b15f13335e6&title=Des+Plaines+Public+Library&linktype=opac&detail=GK8%3ADes+Plaines+Public+Library%3APublic Library&app=wcapi&id=OCPSB-
Kennesaw State University,GKJ,"Sturgis Library, 385 Cobb Ave. NW MD1701, Kennesaw, GA",United States,http://www.worldcat.org/wcpa/oclc/780194?page=frame&url=https%3A%2F%2Fgalileo-usg-ksu-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DKSU_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C9780892640157%26checksum%3D1aaa8c20b5ffb6a86c864b7d7e943fb2&title=Kennesaw+State+University&linktype=opac&detail=GKJ%3AKennesaw+State+University%3AAcademic Library&app=wcapi&id=OCPSB-
Fremont Public Library District,GL4,"1170 North Midlothian Road, Mundelein, IL",United States,http://www.worldcat.org/wcpa/oclc/1015088464?page=frame&url=http%3A%2F%2Fccsp.ent.sirsi.net%2Fclient%2Fen_US%2Ffpld%2F%26checksum%3D58ef034b74a271905aa0da3861a27f3b&title=Fremont+Public+Library+District&linktype=opac&detail=GL4%3AFremont+Public+Library+District%3APublic Library&app=wcapi&id=OCPSB-
Lake Bluff Public Library,GL8,"123 E Scranton Ave, Lake Bluff, IL",United States,http://www.worldcat.org/wcpa/oclc/860511283?page=frame&url=http%3A%2F%2Fbluff-mt.iii.com%2Fiii%2Fencore%2Fsearch%2FC__S1929280068%26checksum%3Dd33b136f326a2579f7312649c85bf46f&title=Lake+Bluff+Public+Library&linktype=opac&detail=GL8%3ALake+Bluff+Public+Library%3APublic Library&app=wcapi&id=OCPSB-
LaGrange College,GLG,"Frank & Laura Lewis Library, LaGran, 601 Broad Street, Lagrange, GA",United States,http://www.worldcat.org/wcpa/oclc/925070020?page=frame&url=http%3A%2F%2Flagr.sirsi.net%2Fuhtbin%2Fcgisirsi%2FX%2F0%2F0%2F5%3Fsearchdata1%3D0892640820%26checksum%3Dc07728069efeed6dd43b44aeea7d1638&title=LaGrange+College&linktype=opac&detail=GLG%3ALaGrange+College%3AAcademic Library&app=wcapi&id=OCPSB-
Georgia State University College of Law Library,GLL,"85 Park Place NE, Atlanta, GA",United States,http://www.worldcat.org/wcpa/oclc/860511283?page=frame&url=https%3A%2F%2Fgil.gsu.edu%2Fcgi-bin%2FPwebrecon.cgi%3FDB%3Dlocal%26CNT%3D25%26HIST%3D1%26BOOL1%3Das%2Ba%2Bphrase%26FLD1%3DISBN%2B%28ISBN%29%26SAB1%3D0691056455%26checksum%3D3992381cac43a4a76143030463f4de9f&title=Georgia+State+University+College+of+Law+Library&linktype=opac&detail=GLL%3AGeorgia+State+University+College+of+Law+Library%3ALaw Library&app=wcapi&id=OCPSB-
Gloucestershire Libraries & Information Services,GLOCC,"Quayside House, Shire Hall, Gloucester",United Kingdom,http://www.worldcat.org/wcpa/oclc/964256751?page=frame&url=http%3A%2F%2Fcapitadiscovery.co.uk%2Fgloslibraries%2Fitems%3Fquery%3D0297002376%26checksum%3D2fd200811ac0618bb006dd9404354f02&title=Gloucestershire+Libraries+%26+Information+Services&linktype=opac&detail=GLOCC%3AGloucestershire+Libraries+%26+Information+Services%3APublic Library&app=wcapi&id=OCPSB-
Brewton-Parker College Library,GMB,"201 David-Eliza Fountain Circle, PO Box 197, Mt Vernon, GA",United States,http://www.worldcat.org/wcpa/oclc/644275984?page=frame&url=http%3A%2F%2F162.39.237.133%2Fipac20%2Fipac.jsp%3Fmenu%3Dsearch%26aspect%3Dbasic_search%26npp%3D50%26ipp%3D20%26spp%3D20%26profile%3Dbpcl%26ri%3D%26index%3DISBNEX%26term%3D0892640995%26checksum%3Dd8e32c11726176dd139ca24aa6a64e15&title=Brewton-Parker+College+Library&linktype=opac&detail=GMB%3ABrewton-Parker+College+Library%3AAcademic Library&app=wcapi&id=OCPSB-
"Middle Georgia State University, Cochran Campus",GMC,"1100 Second Street, Southeast, Cochran, GA",United States,http://www.worldcat.org/wcpa/oclc/5697018?page=frame&url=https%3A%2F%2Fgalileo-usg-mga-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DMGA_V1%26sortby%3Drank%26lang%3Den_US%26query%3Dany%2Ccontains%2C445598%26checksum%3D7ffe547aa6c00b19b5b2555be327c843&title=Middle+Georgia+State+University%2C+Cochran+Campus&linktype=opac&detail=GMC%3AMiddle+Georgia+State+University%2C+Cochran+Campus%3AAcademic Library&app=wcapi&id=OCPSB-
Clayton State University,GMJ,"2000 Clayton State Blvd, Morrow, GA",United States,http://www.worldcat.org/wcpa/oclc/259997054?page=frame&url=https%3A%2F%2Fgalileo-usg-clayton-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DCLAYTON_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C9780520018068%26checksum%3D059964d2453a98d984e8b3f30b1b8ab5&title=Clayton+State+University&linktype=opac&detail=GMJ%3AClayton+State+University%3AAcademic Library&app=wcapi&id=OCPSB-
Furman Smith Law Library,GML,"1021 Georgia Ave Rm 228, Macon, GA",United States,http://www.worldcat.org/wcpa/oclc/860511283?page=frame&url=http%3A%2F%2Flawcat.mercer.edu%2Fsearch%2F%3Fsearchscope%3D0%26searchtype%3Di%26searcharg%3D0691056455%26checksum%3D604215c80446afcf3a9852a51aec48e6&title=Furman+Smith+Law+Library&linktype=opac&detail=GML%3AFurman+Smith+Law+Library%3ALaw Library&app=wcapi&id=OCPSB-
Mercer University,GMU,"1501 Mercer University Drive, Macon, GA",United States,http://www.worldcat.org/wcpa/oclc/1041044402?page=frame&url=http%3A%2F%2Fcatalog.mercer.edu%2Fsearch%2Fi0892640995%26checksum%3D2ac0d66d7bd811e5563d0858ba232631&title=Mercer+University&linktype=opac&detail=GMU%3AMercer+University%3AAcademic Library&app=wcapi&id=OCPSB-
University of North Georgia,GND,"82 College Circle, Dahlonega, GA",United States,http://www.worldcat.org/wcpa/oclc/470516586?page=frame&url=https%3A%2F%2Fgalileo-usg-ung-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DUNG_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C0804708290%26checksum%3Dc5ce67fc6ea84a6f687bcc6bf1dd1175&title=University+of+North+Georgia&linktype=opac&detail=GND%3AUniversity+of+North+Georgia%3AAcademic Library&app=wcapi&id=OCPSB-
Mount Prospect Public Library,GO3,"10 South Emerson Street, Mount Prospect, IL",United States,http://www.worldcat.org/wcpa/oclc/989050012?page=frame&url=http%3A%2F%2Fcatalog.mppl.org%2Fclient%2Fen_US%2Fdefault%2Fsearch%2Fresults%3Fqu%3D0399510907%26checksum%3D2c443f5da47b21501ef76f4c9f272daf&title=Mount+Prospect+Public+Library&linktype=opac&detail=GO3%3AMount+Prospect+Public+Library%3APublic Library&app=wcapi&id=OCPSB-
North Chicago Public Library,GO5,"2100 Argonne Dr, North Chicago, IL",United States,http://www.worldcat.org/wcpa/oclc/964256751?page=frame&url=http%3A%2F%2Fcatalog.ncplibrary.org%2F%26checksum%3Dfd4f4620dbd74ce16c8ad3a614bc2452&title=North+Chicago+Public+Library&linktype=opac&detail=GO5%3ANorth+Chicago+Public+Library%3APublic Library&app=wcapi&id=OCPSB-
Goucher College,GOC,"1021 Dulaney Valley Road, Baltimore, MD",United States,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=https%3A%2F%2Fgouchercollege.on.worldcat.org%2Foclc%2F2965303%26checksum%3D177ee092452a9ae7e7123e1f8f538c69&title=Goucher+College&linktype=opac&detail=GOC%3AGoucher+College%3AAcademic Library&app=wcapi&id=OCPSB-
"Middle Georgia State University, Macon Campus",GOM,"100 University Parkway, Macon, GA",United States,http://www.worldcat.org/wcpa/oclc/260061129?page=frame&url=https%3A%2F%2Fgalileo-usg-mga-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DMGA_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C0472969005%26checksum%3Ddbdb53f0d1abe81ecd32b9679ee2e67b&title=Middle+Georgia+State+University%2C+Macon+Campus&linktype=opac&detail=GOM%3AMiddle+Georgia+State+University%2C+Macon+Campus%3AAcademic Library&app=wcapi&id=OCPSB-
Oglethorpe University,GOU,"4484 Peachtree Road  Northeast, Atlanta, GA",United States,http://www.worldcat.org/wcpa/oclc/493260870?page=frame&url=http%3A%2F%2Flibsun.oglethorpe.edu%2Fcgi-bin%2FPwebrecon.cgi%3FDB%3Dlocal%26PAGE%3DFirst%26checksum%3Dff637938ef424e7ea738e77d336b28bc&title=Oglethorpe+University&linktype=opac&detail=GOU%3AOglethorpe+University%3AAcademic Library&app=wcapi&id=OCPSB-
Waukegan Public Library,GP4,"128 N County St, Waukegan, IL",United States,http://www.worldcat.org/wcpa/oclc/760664295?page=frame&url=http%3A%2F%2Fcatalog.waukeganpl.org%2Fsearch%2Fi%3FSEARCH%3D9780520016996%26checksum%3De1c3f0eb6fc1743fbf8a761d3e7824aa&title=Waukegan+Public+Library&linktype=opac&detail=GP4%3AWaukegan+Public+Library%3APublic Library&app=wcapi&id=OCPSB-
Georgia Southern University,GPM,"Zach S. Henderson Library; PO Box 8, Statesboro, GA",United States,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=https%3A%2F%2Fgalileo-usg-gasou-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DGASOU%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C9780472086771%26checksum%3D8cbb9c5acc6baa312a2d154f27f37a82&title=Georgia+Southern+University&linktype=opac&detail=GPM%3AGeorgia+Southern+University%3AAcademic Library&app=wcapi&id=OCPSB-
Gallaudet University Library,GQG,"800 Florida Avenue NE, Washington, DC",United States,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=http%3A%2F%2Fcatalog.wrlc.org%2Fcgi-bin%2FPwebrecon.cgi%3FDB%3Dlocal%26CNT%3D25%2Brecords%2Bper%2Bpage%26FT%3D9780472086771%26checksum%3D5ae53be188121d35729ce4cc71081732&title=Gallaudet+University+Library&linktype=opac&detail=GQG%3AGallaudet+University+Library%3AAcademic Library&app=wcapi&id=OCPSB-
Athens Regional Library System,GRA,"2025 Baxter St, Athens, GA",United States,http://www.worldcat.org/wcpa/oclc/964256751?page=frame&url=https%3A%2F%2Fgapines.org%2Feg%2Fopac%2Fresults%3Fquery%3DOCM00067901%26checksum%3D21aabb0c8020931a933f098a03c07f83&title=Athens+Regional+Library+System&linktype=opac&detail=GRA%3AAthens+Regional+Library+System%3APublic Library&app=wcapi&id=OCPSB-
Tilburg University Library,GRG,"Warandelaan 2, Tilburg",Netherlands,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=https%3A%2F%2Ftilburguniversity.on.worldcat.org%2Fsearch%3FqueryString%3Dbn%253A9780472086788%26checksum%3Dcceacc5a5632d5cf36c02337baebde7b&title=Tilburg+University+Library&linktype=opac&detail=GRG%3ATilburg+University+Library%3AAcademic Library&app=wcapi&id=OCPSB-
Greenwich Library,GRN,"101 W Putnam Ave, Greenwich, CT",United States,http://www.worldcat.org/wcpa/oclc/964256751?page=frame&url=http%3A%2F%2Fgreenwichlibrary.bibliocommons.com%2Fsearch%3Fcustom_query%3D9780440550716%26checksum%3D562168ba69fe8c5c6075b7c2e32554ba&title=Greenwich+Library&linktype=opac&detail=GRN%3AGreenwich+Library%3APublic Library&app=wcapi&id=OCPSB-
Great River Regional Library,GRR,"1300 W St. Germain, St. Cloud, MN",United States,http://www.worldcat.org/wcpa/oclc/636713848?page=frame&url=https%3A%2F%2Ffind.griver.org%2FSearch%2FResults%3Flookfor%3Disn%3A9780520054677%26checksum%3D75bd077d648fee1202115fc9e6231c3f&title=Great+River+Regional+Library&linktype=opac&detail=GRR%3AGreat+River+Regional+Library%3APublic Library&app=wcapi&id=OCPSB-
University of Groningen Library,GRU,"Broerstraat 4, Groningen",Netherlands,http://www.worldcat.org/wcpa/oclc/493260870?page=frame&url=https%3A%2F%2Frug.on.worldcat.org%2Fsearch%3FqueryString%3Dno%253A200725%26checksum%3D16a911150db3709efc78b12322b2cf1b&title=University+of+Groningen+Library&linktype=opac&detail=GRU%3AUniversity+of+Groningen+Library%3AAcademic Library&app=wcapi&id=OCPSB-
Live Oak Public Libraries,GSC,"2002 Bull Street, Savannah, GA",United States,http://www.worldcat.org/wcpa/oclc/860511283?page=frame&url=https%3A%2F%2Fgapines.org%2Feg%2Fopac%2Fhome%26checksum%3D388288fbbd8453e8ea86e2f6ff7220bd&title=Live+Oak+Public+Libraries&linktype=opac&detail=GSC%3ALive+Oak+Public+Libraries%3APublic Library&app=wcapi&id=OCPSB-
Savannah College of Art & Design,GSE,"201 East Broughton Street, Savannah, GA",United States,http://www.worldcat.org/wcpa/oclc/20619185?page=frame&url=http%3A%2F%2Flibrary.scad.edu%2Fsearch%2Fi9780472080892%26checksum%3Db348e69050eb8ffc5b7c3328538e8d1a&title=Savannah+College+of+Art+%26+Design&linktype=opac&detail=GSE%3ASavannah+College+of+Art+%26+Design%3AAcademic Library&app=wcapi&id=OCPSB-
"University of London, Goldsmiths",GSM,"The Library, Goldsmiths, University of London, New Cross, London",United Kingdom,http://www.worldcat.org/wcpa/oclc/4193965?page=frame&url=http%3A%2F%2Flibra.gold.ac.uk%2FF%2F%3Ffunc%3Dfind-b%26find_code%3DWIS%26x%3D44%26y%3D11%26request%3D0892640049%26checksum%3D7ac03eea11d2c698467a75cf31a33e0b&title=University+of+London%2C+Goldsmiths&linktype=opac&detail=GSM%3AUniversity+of+London%2C+Goldsmiths%3AAcademic Library&app=wcapi&id=OCPSB-
Gabinetto Scientifico Letterario G.P. Vieusseux,GSQ,"Palazzo & P.Zza Strozzi, Firenze",Italy,http://www.worldcat.org/wcpa/oclc/606303258?page=frame&url=http%3A%2F%2Fopac.comune.fi.it%2Feasyweb%2Fw2001%2Findex.php%3Fscelta%3Dcampi%26%26biblio%3DRT10BA%26checksum%3D06102949592780680d551b90b7fe43c2&title=Gabinetto+Scientifico+Letterario+G.P.+Vieusseux&linktype=opac&detail=GSQ%3AGabinetto+Scientifico+Letterario+G.P.+Vieusseux%3APublic Library&app=wcapi&id=OCPSB-
Savannah State University,GSS,"2200 Tompkins Road, Savannah, GA",United States,http://www.worldcat.org/wcpa/oclc/258442591?page=frame&url=https%3A%2F%2Fgalileo-usg-ssu-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DSSU_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C0892640278%26checksum%3D56034ae1a0bc8d1791a0e17ec4c7b327&title=Savannah+State+University&linktype=opac&detail=GSS%3ASavannah+State+University%3AAcademic Library&app=wcapi&id=OCPSB-
Savannah Technical College,GST,"5717 White Bluff Road, Savannah, GA",United States,http://www.worldcat.org/wcpa/oclc/257229496?page=frame&url=https%3A%2F%2Fgalileo-satc-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DSATC%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C9780415587594%26checksum%3D6fc36a817d33f7a40e6bc582e033bf7c&title=Savannah+Technical+College&linktype=opac&detail=GST%3ASavannah+Technical+College%3AAcademic Library&app=wcapi&id=OCPSB-
