full_title,last_name,first_name,role
Painting and Calligraphy in the Wu-tsa-tsu: Conservative Aesthetics in Seventeenth-Century China,Oertling,Sewall,
"Controlling from Afar: The Daoguang Emperor's Management of the Grand Canal Crisis, 1824–1826",Leonard,Jane,
"Studies in the Economic History of Late Imperial China: Handicraft, Modern Industry, and the State",Feuerwerker,Albert,
"The Chinese Economy, 1870–1949",Feuerwerker,Albert,
The Imperial Style of Inquiry in Twentieth-Century China: The Emergence of New Approaches,Munro,Donald,
"Conflicting Counsels to Confuse the Age: A Documentary Study of Political Economy in Qing China, 1644–1840",Dunstan,Helen,
A Guide to Chinese Literature,Idema,Wilt,
The Matrix of Lyric Transformation: Poetic Modes and Self-Presentation in Early Chinese Pentasyllabic Poetry,Cai,Zong-qi,
An Index to Reproductions of Paintings by Twentieth-Century Chinese Artists,Laing,Ellen,
Chan-kuo Ts'e,Crump,James I.,
Constructing China: The Interaction of Culture and Economics,Lieberthal,Kenneth,
Appropriation and Representation: Feng Menglong and the Chinese Vernacular Story,Yang,Shuhui,
Reform and Revolution in China: The 1911 Revolution in Hunan and Hubei,Esherick,Joseph,
"The Chinese: Adapting the Past, Building the Future",Dernberger,Robert,
Mao's Revolution and the Chinese Political Culture,Solomon,Richard,
"Legends of the Warring States: Persuasions, Romances, and Stories from Chan-kuo Ts'e",Crump,James I.,
God of the Dao: Lord Lao in History and Myth,Kohn,Livia,
Sui-Tang Chang'an: A Study in the Urban History of Late Medieval China,Xiong,Victor,
Chen Jiongming and the Federalist Movement: Regional Leadership and Nation Building in Early Republican China,Chen,Leslie,
Swallows and Settlers: The Great Migration from North China to Manchuria,Gottschang,Thomas,
The Peony Pavilion Onstage: Four Centuries in the Career of a Chinese Drama,Swatek,Catherine,
"A Glossary of Words and Phrases in the Oral Performing and Dramatic Literatures of the Jin, Yuan, and Ming",Johnson,Dale,
"Radicalism and Its Demise: The Chinese Nationalist Party, Factionalism, and Local Elites in Jiangsu Province, 1924–1931",Geisert,Bradley,
"Christianity in Rural China: Conflict and Accommodation in Jiangxi Province, 1860–1900",Sweeten,Alan,
"Screening China: Critical Interventions, Cinematic Reconfigurations, and the Transnational Imaginary in Contemporary Chinese Cinema",Zhang,Yingjin,
The Chinese Garden as Lyric Enclave: A Generic Study of The Story of the Stone,Xiao,Chi,
Art and Aesthetics in Chinese Popular Prints: Selections from the Muban Foundation Collection,Laing,Ellen,
Shih-shuo Hsin-yü: A New Account of Tales of the World,Mather,Richard,
China's Revolutions and Intergenerational Relations,Whyte,Martin,
"Defining Modernity: Guomindang Rhetorics of a New China, 1920–1970",Bodenhorn,Terry,
"The Dianshizhai Pictorial: Shanghai Urban Life, 1884–1898",Ye,Xiaoqing,
Salt and State: An Annotated Translation of the Songshi Salt Monopoly Treatise,Chien,Cecilia,
Banner Legacy: The Rise of the Fengtian Local Elite at the End of the Qing,Enatsu,Yoshiki,
"China: Adapting the Past, Confronting the Future",Buoye,Thomas,
"The Chinese: Adapting the Past, Facing the Future",Dernberger,Robert,
Chinese Language Patterns: A Computerized Resource,Ma,Jing-heng,
The Coterminal Characteristics of Political Units and Economic Regions in China,Dernberger,Robert,
Getting Around in Chinese: Chinese Skits for Beginners,Tao,Hilda,
"Hebei Province, Dahe Commune/Township: Data Sets and Codebook",Putterman,Louis,
"Research Guide to People's Daily Editorials, 1949–1975",Oksenberg,Michel,
"Study Guide to China: Adapting the Past, Confronting the Future",Buoye,Thomas,
"Study Guide to The Chinese: Adapting the Past, Facing the Future",Buoye,Thomas,
The Washing Away of Wrongs: Forensic Medicine in Thirteenth-Century China,Sung,Tz'u,
Traditional Medicine in Contemporary China: A Partial Translation of Revised Outline of Chinese Medicine (1972) with an Introductory Study on Change in Present-Day and Early Medicine,Sivin,Nathan,
Science and Medicine in Twentieth-Century China: Research and Education,Bowers,John,
"Japan's First Modern Novel: ""Ukigumo"" of Futabatei Shimei",Ryan,Marleigh,
Grass on the Wayside (Michikusa): A Novel,Natsume,Sōseki,
"Kafū the Scribbler: The Life and Writings of Nagai Kafū, 1897-1959",Seidensticker,Edward,
"Ōkagami, The Great Mirror: Fujiwara Michinaga (966-1027) and His Times",McCullough,Helen,
The Love Suicide at Amijima: A Study of a Japanese Domestic Tragedy by Chikamatsu Monzaemon,Shively,Donald,
Literary and Art Theories in Japan,Ueda,Makoto,
Japan: From Prehistory to Modern Times,Hall,John,
Education in Tokugawa Japan,Dore,R.,
Tales of Times Now Past: Sixty-Two Stories from a Medieval Japanese Collection,Ury,Marian,
"The Economic Development of Japan: Growth and Structural Change, 1868-1938",Lockwood,William,
Research in Japanese Sources: A Guide,Webb,Herschel,
"This Kind of Woman: Ten Stories by Japanese Women Writers, 1960-1976",Tanaka,Yukiko,
Personality in Japanese History,Craig,Albert,
Suye Mura: A Japanese Village,Embree,John,
"They Came to Japan: An Anthology of European Reports on Japan, 1543-1640",Cooper,Michael,
Accomplices of Silence: The Modern Japanese Novel,Miyoshi,Masao,
And Then,Natsume,Sōseki,
"Tokugawa Ideology: Early Constructs, 1570-1680",Ooms,Herman,
"Government and Local Power in Japan, 500-1700: A Study Based on Bizen Province",Hall,John,
Japan in Crisis: Essays on Taishō Democracy,Silberman,Bernard,
The Splendor of Longing in the Tale of Genji,Field,Norma,
Victors' Justice: The Tokyo War Crimes Trial,Minear,Richard,
Sanshiro: A Novel,Natsume,Sōseki,
Christian Converts and Social Protests in Meiji Japan,Scheiner,Irwin,
Paradise in the Sea of Sorrow: Our Minamata Disease,Ishimure,Michiko,
Pictures of the Heart: The Hyakunin Isshu in Word and Image,Mostow,Joshua,
A Japanese New Religion: Risshō Kōsei-kai in a Mountain Hamlet,Guthrie,Stewart,Author
The Three Jewels: A Study and Translation of Minamoto Tamenori's Sanbōe,Kamens,Edward,Author
"Long, Long Autumn Nights: Selected Poems of Oguma Hideo, 1901–1940",Oguma,Hideo,Author
"Long, Long Autumn Nights: Selected Poems of Oguma Hideo, 1901–1940",Goodman,David,Translator
"Theater as Music: The Bunraku Play ""Mt. Imo and Mt. Se: An Exemplary Tale of Womanly Virtue""",Gerstle,C.,Author
"Theater as Music: The Bunraku Play ""Mt. Imo and Mt. Se: An Exemplary Tale of Womanly Virtue""",Inobe,Kiyoshi,Author
The Buddhist Poetry of the Great Kamo Priestess: Daisaiin Senshi and Hosshin Wakashū,Kamens,Edward,Author
Rethinking Sorrow: Revelatory Tales of Late Medieval Japan,Childs,Margaret,Author
Conversations with Shōtetsu,Brower,Robert,Author
Conversations with Shōtetsu,Carter,Steven,Author
The Cult of Kasuga Seen Through Its Art,Tyler,Susan,Author
The Tale of Matsura: Fujiwara Teika's Experiment in Fiction,Lammers,Wayne,Author
Poems of the Five Mountains: An Introduction to the Literature of the Zen Monasteries,Ury,Marian,Author
New Leaves: Studies and Translations of Japanese Literature in Honor of Edward Seidensticker,Gatten,Aileen,Editor
New Leaves: Studies and Translations of Japanese Literature in Honor of Edward Seidensticker,Chambers,Anthony,Editor
Black Eggs: Poems by Kurihara Sadako,Kurihara,Sadako,Author
Black Eggs: Poems by Kurihara Sadako,Minear,Richard,Translator
Avatars of Vengeance: Japanese Drama and the Soga Literary Tradition,Kominz,Laurence,Author
The Wild Goose,Mori,Ōgai,Author
The Wild Goose,Watson,Burton,Translator
The Distant Isle: Studies and Translations of Japanese Literature in Honor of Robert H. Brower,Hare,Thomas,Editor
The Distant Isle: Studies and Translations of Japanese Literature in Honor of Robert H. Brower,Borgen,Robert,Editor
Regent Redux: A Life of the Statesman-Scholar Ichijō Kaneyoshi,Carter,Steven,Author
Righteous Cause or Tragic Folly: Changing Views of War in Modern Japanese Poetry,Rabson,Steve,Author
Child of Darkness: Yōko and Other Stories,Furui,Yoshikichi,Author
Child of Darkness: Yōko and Other Stories,Storey,Donna,Translator
The Kagerō Diary: A Woman's Autobiographical Text from Tenth-Century Japan,Arntzen,Sonja,Translator
Studies in Modern Japanese Literature,Washburn,Dennis,Editor
Studies in Modern Japanese Literature,Tansman,Alan,Editor
Writing and Renunciation in Medieval Japan: The Works of the Poet-Priest Kamo no Chōmei,Pandey,Rajyashree,Author
The Shade of Blossoms,Ōoka,Shōhei,Author
The Shade of Blossoms,Washburn,Dennis,Translator
"When We Say ""Hiroshima"": Selected Poems",Kurihara,Sadako,Author
"When We Say ""Hiroshima"": Selected Poems",Minear,Richard,Translator
A Tanizaki Feast: The International Symposium in Venice,Boscaro,Adriana,Editor
A Tanizaki Feast: The International Symposium in Venice,Chambers,Anthony,Editor
Women and Class in Japanese History,Tonomura,Hitomi,Editor
Women and Class in Japanese History,Walthall,Anne,Editor
The Evolution of the Japanese Past and Perfective Suffixes,Sandness,Karen,Author
Essays on the Modern Japanese Church,Yamaji,Aizan,Author
Essays on the Modern Japanese Church,Squires,Graham,Translator
Yosano Akiko and The Tale of Genji,Rowley,G. G.,Author
Spirits of Another Sort: The Plays of Izumi Kyōka,Poulton,Cody,Author
"""Dark Pictures"" and Other Stories",Noma,Hiroshi,Author
"""Dark Pictures"" and Other Stories",Raeside,James,Translator
"Local Voices, National Issues: The Impact of Local Initiative in Japanese Policy-Making",Smith,Sheila,Editor
Shugendō: Essays on the Structure of Japanese Folk Religion,Miyake,Hitoshi,Author
Shugendō: Essays on the Structure of Japanese Folk Religion,Earhart,H. Byron,Editor
Shanghai: A Novel by Yokomitsu Riichi,Yokomitsu,Riichi,Author
Shanghai: A Novel by Yokomitsu Riichi,Washburn,Dennis,Translator
The Phonological Basis for the Comparison of Japanese and Korean,Whitman,John,Author
Individual Dignity in Modern Japanese Thought: The Evolution of the Concept of Jinkaku in Moral and Educational Discourse,Inoue,Kyoko,Author
Takebe Ayatari: A Bunjin Bohemian in Early Modern Japan,Marceau,Lawrence,Author
Dances with Sheep: The Quest for Identity in the Fiction of Murakami Haruki,Strecher,Matthew,Author
