full_title,last_name,first_name,role
Paninian Studies: Professor S. D. Joshi Felicitation Volume,Deshpande,Madhav,
"The Yay Language: Glossary, Texts, and Translations",Gedney,William,
"The Tai Dialect of Lungming: Glossary, Texts, and Translations",Gedney,William,
"Independence and Democracy in Burma, 1945–1952: The Turbulent Years",Singh,Balwant,
"The Saek Language: Glossary, Texts, and Translations",Gedney,William,
"Southwestern Tai Dialects: Glossaries, Texts, and Translations",Gedney,William,
"Central Tai Dialects: Glossaries, Texts, and Translations",Gedney,William,
"The Lue Language: Glossaries, Texts and Translations",Gedney,William,
"Tai Dialect Studies: Glossaries, Texts, and Translations",Gedney,William,
Thai and Indic Literary Studies,Gedney,William,
Samskrta-Subodhini: A Sanskrit Primer,Deshpande,Madhav,
The Journey: Stories by K. C. Das,Granoff,Phyllis,
Conversational Tamil,Karunakaran,K.,
Puppet Theater in Contemporary Indonesia: New Approaches to Performance Events,Mrazek,Jan,
"The Mertiyo Rathors of Merto, Rajasthan: Select Translations Bearing on the History of a Rajput Family, 1462–1660, Volumes 1–2",Saran,Richard,
The Pāḍæng Chronicle and the Jengtung State Chronicle Translated,Mangrai,Sao,
"Changing Lives, Changing Rites: Ritual and Social Dynamics in Philippine and Indonesian Uplands",Russell,Susan,
"After Duwagan: Deforestation, Succession, and Adaptation in Upland Luzon, Philippines",Brosius,Peter,
