full_title,format_code,isbn13,year_published,bisac_status
"Legends of the Warring States: Persuasions, Romances, and Stories from Chan-kuo Ts'e",HC,9780892641277,1998,Out of Print
"Legends of the Warring States: Persuasions, Romances, and Stories from Chan-kuo Ts'e",PB,9780892641291,,Active
God of the Dao: Lord Lao in History and Myth,HC,9780892641284,1999,Active
God of the Dao: Lord Lao in History and Myth,PB,9780892641338,,Active
Sui-Tang Chang'an: A Study in the Urban History of Late Medieval China,HC,9780892641376,2000,Active
Chen Jiongming and the Federalist Movement: Regional Leadership and Nation Building in Early Republican China,HC,9780892641352,2000,Active
Chen Jiongming and the Federalist Movement: Regional Leadership and Nation Building in Early Republican China,EB,9781938937071,,Active
Swallows and Settlers: The Great Migration from North China to Manchuria,HC,9780892641345,2000,Active
The Peony Pavilion Onstage: Four Centuries in the Career of a Chinese Drama,HC,9780892641369,2012,Out of Stock Indefinitely
The Peony Pavilion Onstage: Four Centuries in the Career of a Chinese Drama,PB,9780892649082,,Active
"A Glossary of Words and Phrases in the Oral Performing and Dramatic Literatures of the Jin, Yuan, and Ming",HC,9780892641383,2002,Active
"Radicalism and Its Demise: The Chinese Nationalist Party, Factionalism, and Local Elites in Jiangsu Province, 1924–1931",HC,9780892641390,2000,Active
"Christianity in Rural China: Conflict and Accommodation in Jiangxi Province, 1860–1900",HC,9780892641468,2001,Active
"Screening China: Critical Interventions, Cinematic Reconfigurations, and the Transnational Imaginary in Contemporary Chinese Cinema",HC,9780892641475,2001,Active
"Screening China: Critical Interventions, Cinematic Reconfigurations, and the Transnational Imaginary in Contemporary Chinese Cinema",PB,9780892641581,,Active
The Chinese Garden as Lyric Enclave: A Generic Study of The Story of the Stone,HC,9780892641482,2001,Out of Print
The Chinese Garden as Lyric Enclave: A Generic Study of The Story of the Stone,PB,9780892649075,,Active
Art and Aesthetics in Chinese Popular Prints: Selections from the Muban Foundation Collection,PB,9780892641543,2002,Active
Shih-shuo Hsin-yü: A New Account of Tales of the World,HC,9780892641550,2002,Active
Shih-shuo Hsin-yü: A New Account of Tales of the World,PB,9781938937019,,Active
Shih-shuo Hsin-yü: A New Account of Tales of the World,EB,9781938937057,,Active
China's Revolutions and Intergenerational Relations,HC,9780892641604,2003,Active
"Defining Modernity: Guomindang Rhetorics of a New China, 1920–1970",HC,9780892641611,2002,Active
"The Dianshizhai Pictorial: Shanghai Urban Life, 1884–1898",PB,9780892641628,2003,Active
"The Dianshizhai Pictorial: Shanghai Urban Life, 1884–1898",EB,9781938937040,,Active
Salt and State: An Annotated Translation of the Songshi Salt Monopoly Treatise,HC,9780892641635,2004,Active
Banner Legacy: The Rise of the Fengtian Local Elite at the End of the Qing,HC,9780892641659,2004,Active
Banner Legacy: The Rise of the Fengtian Local Elite at the End of the Qing,PB,9781938937002,,Active
"China: Adapting the Past, Confronting the Future",PB,9780892641567,2002,Active
"China: Adapting the Past, Confronting the Future",EB,9781938937026,,Active
"The Chinese: Adapting the Past, Facing the Future",PB,9780892641000,1991,Out of Print
Chinese Language Patterns: A Computerized Resource,HC,9780892640690,1981,Out of Print
The Coterminal Characteristics of Political Units and Economic Regions in China,HC,9780892640546,1983,Out of Print
Getting Around in Chinese: Chinese Skits for Beginners,PB,9780892641406,2000,Active
"Hebei Province, Dahe Commune/Township: Data Sets and Codebook",HC,9780892640867,1981,Out of Print
"Research Guide to People's Daily Editorials, 1949–1975",PB,9780892649495,1982,Out of Stock Indefinitely
"Study Guide to China: Adapting the Past, Confronting the Future",PB,9780892641574,2003,Active
"Study Guide to The Chinese: Adapting the Past, Facing the Future",PB,9780892641048,1992,Active
The Washing Away of Wrongs: Forensic Medicine in Thirteenth-Century China,HC,9780892648016,1981,Out of Print
The Washing Away of Wrongs: Forensic Medicine in Thirteenth-Century China,PB,9780892648009,,Active
The Washing Away of Wrongs: Forensic Medicine in Thirteenth-Century China,EB,9781938937033,,Active
Traditional Medicine in Contemporary China: A Partial Translation of Revised Outline of Chinese Medicine (1972) with an Introductory Study on Change in Present-Day and Early Medicine,HC,9780892640737,1987,Active
Traditional Medicine in Contemporary China: A Partial Translation of Revised Outline of Chinese Medicine (1972) with an Introductory Study on Change in Present-Day and Early Medicine,PB,9780892640744,,Active
Science and Medicine in Twentieth-Century China: Research and Education,HC,9780892640775,1988,Active
Science and Medicine in Twentieth-Century China: Research and Education,PB,9780892640782,,Active
"Japan's First Modern Novel: ""Ukigumo"" of Futabatei Shimei",PB,9780939512447,1990,Out of Print
Grass on the Wayside (Michikusa): A Novel,PB,9780939512454,1990,Out of Print
"Kafū the Scribbler: The Life and Writings of Nagai Kafū, 1897-1959",PB,9780939512461,1990,Active
"Ōkagami, The Great Mirror: Fujiwara Michinaga (966-1027) and His Times",PB,9780939512508,1991,Active
The Love Suicide at Amijima: A Study of a Japanese Domestic Tragedy by Chikamatsu Monzaemon,PB,9780939512515,1991,Out of Print
Literary and Art Theories in Japan,PB,9780939512522,1991,Active
Japan: From Prehistory to Modern Times,PB,9780939512546,1991,Active
Education in Tokugawa Japan,PB,9780939512591,1992,Active
Tales of Times Now Past: Sixty-Two Stories from a Medieval Japanese Collection,PB,9780939512614,1993,Active
"The Economic Development of Japan: Growth and Structural Change, 1868-1938",PB,9780939512621,1993,Active
Research in Japanese Sources: A Guide,PB,9780939512652,1994,Active
"This Kind of Woman: Ten Stories by Japanese Women Writers, 1960-1976",PB,9780939512669,1994,Out of Print
Personality in Japanese History,PB,9780939512676,1995,Active
Suye Mura: A Japanese Village,PB,9780939512683,1995,Out of Print
"They Came to Japan: An Anthology of European Reports on Japan, 1543-1640",PB,9780939512737,1995,Active
Accomplices of Silence: The Modern Japanese Novel,PB,9780939512768,1996,Active
And Then,PB,9780939512829,1997,Out of Print
"Tokugawa Ideology: Early Constructs, 1570-1680",PB,9780939512850,1998,Active
"Government and Local Power in Japan, 500-1700: A Study Based on Bizen Province",PB,9780939512966,1999,Active
Japan in Crisis: Essays on Taishō Democracy,PB,9780939512973,1999,Active
The Splendor of Longing in the Tale of Genji,PB,9781929280056,2001,Active
Victors' Justice: The Tokyo War Crimes Trial,PB,9781929280063,2001,Active
Sanshiro: A Novel,PB,9781929280100,2002,Out of Print
Christian Converts and Social Protests in Meiji Japan,PB,9781929280209,2002,Active
Paradise in the Sea of Sorrow: Our Minamata Disease,PB,9781929280254,2003,Active
