country_name
Afghanistan
Armenia
Australia
Barbados
Belgium
Botswana
Brazil
Bulgaria
Canada
Chile
China
Colombia
Cyprus
Czech Republic
Denmark
Dominican Republic
Ecuador
Egypt
France
Germany
Ghana
Greece
Hong Kong
Hungary
Iceland
India
Iraq
Ireland
Israel
Italy
Jamaica
Japan
Kenya
Kuwait
Kyrgyzstan
Lebanon
Lesotho
Liechtenstein
Macao
Malaysia
Malta
Martinique
Mexico
Morocco
Namibia
Netherlands
New Caledonia
New Zealand
Nigeria
Oman
Pakistan
Peru
Philippines
Poland
Portugal
Qatar
Romania
Samoa
Saudi Arabia
Singapore
Slovenia
South Africa
Spain
Sweden
Switzerland
Taiwan
Thailand
Trinidad and Tobago
Turkey
United Arab Emirates
United Kingdom
United States
Venezuela
Viet Nam
Zimbabwe
Unknown
